(0, 0.00)
(50, 0.25)
(100, 0.50)
(150, 0.73)
(200, 0.95)    
(250, 1.16)
(300,1.36)
(350,1.55)
(400,1.73)
(450,1.90)
(500,2.06)
(550,1.95)
(600,1.85)
(650,1.75)
(700,1.66)
(750,1.57)
(800,1.49)
(850,1.41)
(900,1.34)
(950,1.27)
(1000,1.20)
(1050,1.14)
(1100,1.08)
(1150,1.03)
(1200,0.97)
(1250,0.92)
(1300,0.87)
(1350,0.82)
(1400,0.78)
(1450,0.74)
(1500,0.70)
(1550,0.66)
(1600,0.63)
(1650,0.60)
(1700,0.56)
(1750,0.54)
(1800,0.50)
(1850,0.48)
(1900,0.45)
(1950,0.43)
(2000,0.41)
(2050,0.38)
(2100,0.37)
(2150,0.34)
(2200,0.32)
(2250,0.31)
(2300,0.29)
(2350,0.27)
(2400,0.26)
(2450,0.24)
(2500,0.23)
(2550,0.22)
(2600,0.21)
(2650,0.20)
(2700,0.19)
(2750,0.18)
(2800,0.17)
(2850,0.16)
(2900,0.15)
(2950,0.14)
(3000,0.13)
(3050,0.13)
(3100,0.12)
(3150,0.11)
(3200,0.10)
(3250,0.10)
(3300,0.09)
(3350,0.09)
(3400,0.09)
(3450,0.08)
(3500,0.07)
(3550,0.07)
(3600,0.07)
(3650,0.06)
(3700,0.06)
(3750,0.05)
(3800,0.05)
(3850,0.05)
(3900,0.04)
(3950,0.04)
(4000,0.04)
(4050,0.03)
(4100,0.03)
(4150,0.03)
(4200,0.03)
(4250,0.02)
(4300,0.03)
(4350,0.02)
(4400,0.02)
(4450,0.02)
(4500,0.02)
(4550,0.02)
(4600,0.01)
(4650,0.01)
(4700,0.01)
(4750,0.01)
(4800,0.01)
(4850,0.01)
(4900,0.01)
(4950,0.01)
(5000,0.00)
(5050,0.00)
(5100,0.00)
(5150,0.00)
(5200,0.01)
(5250,0.00)
(5300,0.00)
(5350,0.00)
(5400,0.00)
(5450,0.00)

